"","plot","stand","X","anpp","anpp.c.ha","age","status","filename","mean.height","height.2","mean.height.var","mean.height.rms","transect.length","mode.el","max.el","mode.2","max.can.ht","mean.max.ht","mean.vai","mean.peak.vai","deep.gaps","deep.gap.fraction","porosity","std.std","mean.std","rugosity","top.rugosity","mean.return.ht","sd.return.ht","sky.fraction","cover.fraction","max.ht","scan.density","rumple","clumping.index","enl","fpar","fapar","lue"
"1","AC103","AC",1,324.736080041199,1623.68040020599,106,"mixed","ac_103.CSV",12.47327471,4.271592173,18.24649969,13.16133979,30,12.86666667,5.673835063,5.870636066,23.236,17.79333333,5.747046074,2.593191618,0,0,0.709722222,634.8993891,17.36876524,18.25446201,4.906960442,11.52631254,6.096508791,11.41111657,88.58888343,23.236,611.2333333,3.5,0.938043524,19.26819585,0.914065160631173,1610.4,1.00824664692374
"2","AC104","AC",2,281.980461827551,1409.90230913775,106,"mixed","ac_104.CSV",9.649963492,4.152451046,17.24284969,10.4890318,50,8.78,8,4.765051341,21.434,13.5982,6.957195666,3.549082722,3,0.06,0.714545455,216.0864771,10.53935984,10.24735924,6.246563666,8.389408032,4.336519734,9.890407986,90.10959201,21.434,368.76,4.52,0.941306928,17.57504456,0.8763156397565,1540.3,0.915342666453126
"3","AC107","AC",3,193.101463221025,965.507316105126,106,"mixed","ac_107.CSV",9.253021508,3.553826851,12.62968529,9.896077515,40,8.325,5.814712502,4.811244841,22.47,15.3999,6.452724467,2.779166325,0,0,0.65,401.0593202,13.74874003,14.56130034,4.936959719,7.315116415,4.903947337,5.907529723,94.09247028,22.47,473.25,3.325,0.910876471,18.24137931,0.839332695527386,1403.7,0.687830245853905
"4","BF7","BF",4,294.200683224278,1471.00341612139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913520560595361,1681.7,0.874712146114878
"5","BF8","BF",5,325.958918039126,1629.79459019563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903446752098984,1635.6,0.996450593174144
"6","BP36#1","BP36",6,303.077199021864,1515.38599510932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BP36#2","BP36",7,291.062071406968,1455.31035703484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BP54#1","BP54",8,282.668551608748,1413.34275804374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BP54#2","BP54",9,270.516226822871,1352.58113411436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BP80#1","BP80",10,326.208396644664,1631.04198322332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","BP80#2","BP80",11,223.091924359038,1115.45962179519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BP80#3","BP80",12,299.69542811026,1498.4771405513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BP98#1","BP98",13,98.0754707271381,490.377353635691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","BS40E","BS40",14,153.418159706084,767.090798530421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891073391134449,1459.4,0.52562066502016
"15","BS40F","BS40",15,205.871601481855,1029.35800740927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873814952598104,1456.3,0.70683101518181
"16","BS40X","BS40",16,227.090464653116,1135.45232326558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857276337304368,1468,0.773468885058297
"17","BS42A","BS42",17,138.529048655264,692.645243276319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893625475393086,1574.3,0.43997029999131
"18","BS42A","BS42",17,138.529048655264,692.645243276319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857197844495766,1558.9,0.444316661284444
"19","BS42B","BS42",18,129.158456994138,645.792284970688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881643866337744,1572.5,0.410678718582314
"20","BS42C","BS42",19,147.242689158604,736.213445793019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819030580868787,1465,0.502534775285337
"21","BS42C","BS42",19,147.242689158604,736.213445793019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.832737385776718,1467.2,0.501781247132646
"22","CP1","CP",20,384.486870945468,1922.43435472734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936223904565267,1632.4,1.17767358167566
"23","CP2","CP",21,248.03791894614,1240.1895947307,37,"mixed","cp_2.CSV",12.39968442,7.490913905,56.11379113,14.43825197,40,11.6,7.389305832,9.497098072,29.523,18.904875,7.573457639,3.521148908,0,0,0.747580645,1647.75379,27.35480704,29.99113738,9.739801831,8.579622643,7.851389688,0.674810937,99.32518906,29.523,429.875,7.15,0.932638105,23.0461068,0.790858568674152,1394.6,0.889279789710813
"24","CP3","CP",22,524.875781730484,2624.37890865242,37,"mixed","cp_3.CSV",11.51792429,7.404273057,54.82325951,13.6424066,40,9.7,7.165452829,8.832341502,30.172,20.726625,6.573637146,3.231889322,0,0,0.764516129,2545.746774,31.08553998,39.74211844,8.151981007,9.282751511,8.711142801,5.813760707,94.18623929,30.172,452.5,6.675,0.928454244,22.50897571,0.884233737596472,1523.8,1.72225942292454
"25","DNR1","DNR",23,406.91411829968,2034.5705914984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","DNR2","DNR",24,93.6390501836663,468.195250918332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","DNR3","DNR",25,102.60657165324,513.032858266202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PSA1","PSA",26,317.743827656064,1588.71913828032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","PSA2","PSA",27,7.71904691223315,38.5952345611657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","RP32_1","RP32",28,393.340998604641,1966.7049930232,85,"natural","rp32_1.CSV",13.68345424,3.596617171,12.93565507,14.13680246,40,12.825,4.823346449,5.922090327,23.434,19.993425,6.709932754,2.338986129,0,0,0.566666667,517.2874953,16.91811746,15.20081567,2.299903319,12.00167291,5.202697719,3.173649424,96.82635058,23.434,457.8,2.675,0.825432517,17.49454104,NA,NA,NA
"31","RP32_2","RP32",29,445.92116088583,2229.60580442915,85,"natural","rp32_2.CSV",14.84433617,3.984227707,15.87407042,15.35680744,40,15.45,6.01955339,5.909358072,23.412,20.439175,6.77964036,2.338720744,0,0,0.570833333,584.5040603,18.71983755,15.29940333,3.316016237,11.9281655,5.698409977,3.714771735,96.28522827,23.412,543.9,3.325,0.893688268,19.59187442,0.87719101752814,1566.4,1.42339492111156
"32","RP32_3","RP32",30,174.448404085039,872.242020425194,85,"natural","rp32_3.CSV",11.51110057,4.106263496,16.8613999,12.20431486,40,11.375,4.974668077,5.304509451,21.929,16.58035,5.915297079,2.539519193,0,0,0.638043478,212.0278119,10.83049048,9.732845825,4.017179177,9.505350509,4.908751034,9.726674999,90.273325,21.929,460.2,3.95,0.916737865,18.60865917,0.790966799617999,1408,0.619490071324712
"33","RP47_1","RP47",31,245.252496226313,1226.26248113157,70,"natural","rp60_1.CSV",12.96956328,1.998450129,3.993802918,13.11882348,40,13.15,5.275004787,2.833408747,17.91,16.2292,6.692299038,2.518782498,0,0,0.540789474,78.38351049,7.200373184,5.151517883,1.95543793,10.7230981,3.566265903,4.018726001,95.981274,17.91,475.4,2.15,0.751236642,13.28979815,0.850481954718673,1517.6,0.808027465163133
"34","RP47_2","RP47",32,166.753668332414,833.768341662072,70,"natural","rp60_2.CSV",12.55525005,1.426478263,2.034840234,12.63401255,40,12.6,7.039451424,2.436895882,17.365,15.55115,6.103744758,2.80364418,0,0,0.576388889,34.24412658,4.626538961,3.583191849,1.154406709,11.17103525,2.639238182,5.235015532,94.76498447,17.365,491.05,1.925,0.640710082,10.66678133,0.911667219091813,1650.3,0.505222287864068
"35","RP47_3","RP47",33,157.704113615973,788.520568079863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841268081804578,1517.9,0.519481235970659
"36","RP73_1","RP73",34,322.246157974781,1611.23078987391,44,"natural","rp73_1.CSV",5.971858021,2.69437146,7.259637565,6.537678093,40,5.7,6.660695646,3.435859165,12.284,7.659675,5.444679861,2.607763163,2,0.05,0.6,19.30778514,3.154966805,3.058426,3.4668109,4.767374703,2.444142203,21.0991071,78.9008929,12.284,506.9,2.825,0.908423988,10.3850216,0.804744525547445,1411.2,1.14174517423038
"37","RP73_2","RP73",35,384.376859616308,1921.88429808154,44,"natural","rp73_2.CSV",6.1399372,2.082579605,4.33713781,6.475147735,40,5.8,5.974778276,2.793765954,12.896,8.525375,5.308414766,2.361915676,1,0.025,0.580357143,15.54244208,2.841560373,2.732759909,2.660141491,5.362003978,2.285789257,15.30650977,84.69349023,12.896,527.025,2.675,0.81247244,9.891635322,0.649500151469252,1072,1.79280251686711
"38","RP73_3","RP73",36,395.607870202028,1978.03935101014,44,"natural","rp73_3.CSV",6.917116178,3.553228822,12.62543506,7.760117434,50,6.86,4.793171042,4.218569252,14.553,9.21116,4.679704133,1.985220536,5,0.1,0.63875,22.62875532,3.555519286,3.160227513,4.123218108,6.345588581,3.033052164,24.12240852,75.87759148,14.553,484.4,3.52,0.889134242,11.99497343,0.75667022411953,1276.2,1.54994464113003
"39","RP97_1","RP97",37,235.608227351548,1178.04113675774,20,"natural","rp97_1.CSV",0.86087983,1.490243768,2.220826488,1.704822544,40,0.65,1.781321317,1.188621266,5.631,0.858975,0.230305305,0.155180354,28,0.7,0.914285714,0.014365482,0.054611921,0.106691235,1.477267635,3.627797053,2.636929672,89.18931221,10.81068779,9.163,549.35,1.8,0.955246184,3.692307692,0.432754288211515,792.2,1.48705016000725
"40","RP97_2","RP97",38,344.38402535085,1721.92012675425,20,"natural","rp97_2.CSV",2.033939644,2.568314833,6.59624108,3.250883807,40,1.75,4.065455011,2.519157368,10.315,2.527575,1.31519828,0.779929032,19,0.475,0.834090909,0.691072752,0.359245475,0.749676891,3.282922353,4.127039446,2.409915539,69.14473684,30.85526316,10.315,532.125,2.175,0.96816292,8.47217806,0.39925630810093,751.6,2.29100602282364
"41","RP97_3","RP97",39,144.974775804077,724.873879020387,20,"natural","rp97_3.CSV",3.145219429,3.934685729,15.48175179,4.985789671,30,3.033333333,4.078603099,3.890601703,11.623,3.798766667,1.574082705,0.701295404,15,0.5,0.848717949,7.218395805,0.962661243,2.508321976,4.810991558,6.087123557,3.020356023,74.49764967,25.50235033,11.623,645.4333333,2.2,0.955099377,8.812658228,0.257322733820626,482.3,1.50295226834001
"42","RPL01","RPL93",1,364.9433355,1824.716677,25,"planted","RPL01-1EW.CSV",7.549510405,1.305228028,1.703620204,7.658729468,40,7.725,6.254604868,1.782931898,11.147,9.283275,6.53668385,3.125055077,0,0,0.372916667,15.0391092,3.292754181,2.048628591,0.877676711,5.860623545,2.245768102,4.354447247,95.64555275,11.147,525.45,1.75,0.606445323,9.057382785,0.920763613363234,1601.3,1.13952206145007
"43","RPL01","RPL93",1,364.9433355,1824.716677,25,"planted","RPL01-2SN.CSV",7.707692003,1.55530007,2.418958308,7.859198456,40,7.625,6.216136757,2.305928813,11.176,9.189625,6.721473823,3.019910364,0,0,0.38125,12.31506321,2.927230378,1.935558193,1.150347499,5.737627748,2.158933365,5.116096025,94.88390397,11.176,508.325,1.9,0.654605772,9.284180613,0.920763613363234,1601.3,1.13952206145007
"44","RPL02","RPL93",2,641.8572583,3209.286291,25,"planted","RPL02-2EW.CSV",6.217627271,1.960453366,3.843377401,6.512002906,40,6.05,6.845116855,2.427935706,10.809,7.790625,6.189059335,2.838906973,1,0.025,0.489583333,6.111492186,2.051857561,1.378902729,2.025265145,4.919361994,1.803325772,10.60803317,89.39196683,10.809,518.6,2.15,0.65186177,8.196777277,0.859347112672002,1492.6,2.1501315094466
"45","RPL02","RPL93",2,641.8572583,3209.286291,25,"planted","RPL02-1SN.CSV",7.075575684,1.723388705,2.970068629,7.277333864,40,6.775,6.041791689,2.369545017,10.9,8.554625,4.82682422,2.364324798,0,0,0.497916667,8.266951292,2.349601496,1.6572037,1.376620606,5.708822134,2.141348716,20.08768622,79.91231378,10.9,530.425,1.725,0.787874797,8.925925926,0.859347112672002,1492.6,2.1501315094466
"46","RPL03","RPL93",3,460.4026941,2302.013471,25,"planted","RPL03-2SN.CSV",8.378376213,1.060037145,1.123678748,8.443504885,40,8.5,6.530469713,1.535895296,11.766,10.103175,5.668030601,2.395096371,0,0,0.440384615,11.65853352,2.872486318,1.845902455,0.774171315,7.226796406,1.947254056,9.582139682,90.41786032,11.766,506.275,1.725,1.083438806,9.397514149,0.891174098398433,1546.9,1.488146273838
"47","RPL03","RPL93",3,460.4026941,2302.013471,25,"planted","RPL03-1EW.CSV",7.617020017,1.859295212,3.456978685,7.835148254,40,7.475,6.921207284,2.490880804,11.638,9.360525,6.896163812,3.186483032,0,0,0.4,15.38951487,3.435178424,1.894482531,1.92361228,5.471275046,2.537697937,6.123825584,93.87617442,11.638,519,2.375,0.680347104,9.856622114,0.891174098398433,1546.9,1.488146273838
"48","RPL04","RPL58",4,318.4193483,1592.096741,60,"planted","RPLT1EW.CSV",16.99639069,1.305259244,1.703701693,17.04518717,40,16.325,3.766027499,2.65433849,21.842,20.2267,4.184241278,1.270693627,0,0,0.617391304,29.56876659,4.704874823,2.72633811,0.759024009,16.10664227,2.638301261,18.16991562,81.83008438,21.842,515.675,1.675,0.865466335,10.89361702,0.777289248446477,1325.9,1.20076683083189
"49","RPL04","RPL58",4,318.4193483,1592.096741,60,"planted","RPLT1SN.CSV",17.01460817,1.246595798,1.554001083,17.05907507,40,16.675,2.791934646,2.080279814,21.965,20.235425,3.848745836,1.066429081,0,0,0.613043478,18.53793268,4.039667535,1.489637165,0.814371801,16.20178505,2.304425919,20.91988131,79.08011869,21.965,505.625,1.675,0.634705655,10.35255677,0.777289248446477,1325.9,1.20076683083189
"50","RPL05","RPL58",5,230.502475,1152.512375,60,"planted","RPLT2EW.CSV",19.77256655,1.365857936,1.865567901,19.81850944,40,19.45,3.076869471,2.111628367,24.347,22.907175,2.786740242,0.831267966,0,0,0.64,38.60980032,4.794411514,3.952647032,0.990532048,18.90626146,2.656745559,33.21853783,66.78146217,24.347,508.275,1.85,0.544215338,11.8986412,0.688262539539087,1218.5,0.945845199015183
"51","RPL05","RPL58",5,230.502475,1152.512375,60,"planted","RPLT2SN.CSV",19.21292056,1.904291656,3.62632671,19.30471406,40,18.9,2.349887751,2.447395266,24.704,22.388125,1.910116328,0.647775637,0,0,0.679807692,25.6172115,4.389622421,2.519608404,1.498863436,18.4975123,2.819893733,44.49677389,55.50322611,24.704,530.95,1.775,0.629174467,11.73056173,0.688262539539087,1218.5,0.945845199015183
"52","RPL06","RPL58",6,171.650325,858.2516248,60,"planted","RPLT3EW.CSV",13.66595879,6.647262364,44.18609693,15.16047078,40,13.275,3.699985655,6.656354203,24.428,15.775725,1.864709501,0.670414819,7,0.175,0.788,17.03593567,2.96572657,2.870609966,7.837256084,15.37605682,2.967332575,62.81879739,37.18120261,24.428,616.7,4.375,0.843234205,12.16017316,0.797917168312064,1325.5,0.647492738438325
"53","RPL06","RPL58",6,171.650325,858.2516248,60,"planted","RPLT3SN.CSV",17.51456839,1.748046738,3.055667397,17.59941424,40,17.525,4.660459873,2.640779799,23.278,21.142875,5.734109706,1.856177954,0,0,0.577083333,107.2380937,7.873372042,6.726671271,1.559764186,15.29175268,3.501461525,9.527056646,90.47294335,23.278,513.4,2.45,0.558515504,13.26968282,0.797917168312064,1325.5,0.647492738438325
"54","RPL07","RPL53",7,263.6708841,1318.35442,65,"planted","RPLmid1SN.CSV",17.78704069,1.052979709,1.108766267,17.81740339,40,18.125,4.358947257,1.712510528,21.881,20.62735,3.721696354,1.110546825,0,0,0.626086957,23.81595628,4.226420979,2.439943029,0.691113244,16.80145732,2.494686073,23.15067111,76.84932889,21.881,495.575,1.575,0.672251883,10.56382789,0.754492150557972,1196.7,1.10165824350297
"55","RPL07","RPL53",7,263.6708841,1318.35442,65,"planted","RPLmid1EW.CSV",17.11840147,2.601341957,6.766979977,17.3100397,40,16.85,2.484682007,4.311879833,22.503,20.918025,2.938439079,0.842276904,0,0,0.622916667,178.5503472,7.680023452,10.93469647,0.932692504,16.23032286,3.860941405,32.47337927,67.52662073,22.503,638.725,1.75,0.682658789,11.90227066,0.754492150557972,1196.7,1.10165824350297
"56","RPL08","RPL53",8,271.5739886,1357.869943,65,"planted","RPLmid2EW.CSV",17.67495497,1.215862638,1.478321954,17.71568224,40,17.85,4.101438222,1.687814548,22.083,20.31175,3.833411517,1.281500402,0,0,0.640217391,18.37652008,3.746345713,2.08360598,0.984984518,16.91102181,2.22764819,22.94911243,77.05088757,22.083,528.25,1.625,0.682032545,10.23647575,0.747459287376026,1220.9,1.11218768367598
"57","RPL08","RPL53",8,271.5739886,1357.869943,65,"planted","RPLmid2SN.CSV",17.34024464,1.304491074,1.701696962,17.38801998,40,17.575,3.004403895,1.906634839,23.407,20.077825,4.606640292,1.453241978,0,0,0.6375,31.1233113,4.664694001,3.060055748,1.319333202,15.85453479,2.860346639,16.63703205,83.36296795,23.407,520.35,1.675,0.486110735,11.33508049,0.747459287376026,1220.9,1.11218768367598
"58","RPL09","RPL53",9,261.4165293,1307.082646,65,"planted","RPLmid3SN.CSV",17.03801446,0.991731815,0.983531993,17.06613255,40,16.425,3.08258554,2.297015901,22.371,20.630275,3.608228262,1.019766569,0,0,0.590217391,35.70487762,5.404877094,2.547975907,0.887211824,16.14431145,2.641818862,23.93738234,76.06261766,22.371,504.775,1.525,0.812933011,11.32231339,0.770625929740245,1346.9,0.970437780087609
"59","RPL09","RPL53",9,261.4165293,1307.082646,65,"planted","RPLmid3EW.CSV",16.419083,2.271098447,5.157888157,16.57151857,40,15.625,4.503724283,4.09932765,21.08,19.796875,3.370519963,1.090967552,0,0,0.644318182,186.2330311,7.046487233,11.68674671,0.746516979,15.30903997,4.086295283,26.58043274,73.41956726,21.08,531.625,1.575,0.489620313,10.19554584,0.770625929740245,1346.9,0.970437780087609
"60","RPL10","RPL48",10,158.7006369,793.5031845,70,"planted","RPL10-1EW.CSV",14.39647749,4.887422526,23.88689895,15.18381673,40,13.625,6.795397915,6.379805881,22.068,19.017625,5.271359126,2.019054521,0,0,0.633695652,439.2515901,12.46612744,16.84776711,4.454532999,12.55809859,6.326378973,14.79528994,85.20471006,22.068,507.55,2.7,0.763705125,14.65595561,0.82564309221573,1229.3,0.645491893353941
"61","RPL10","RPL48",10,158.7006369,793.5031845,70,"planted","RPL10-2SN.CSV",16.19773476,3.201866518,10.2519492,16.50340152,40,15.8,4.511252174,4.339443424,21.848,18.74475,4.160497716,1.497357642,1,0.025,0.679347826,117.4466343,6.097745872,8.959025034,3.333389318,15.09401355,3.288102684,30.39668556,69.60331444,21.848,525.1,2.65,0.670893323,11.30635312,0.82564309221573,1229.3,0.645491893353941
"62","RPL11","RPL48",11,166.7090175,833.5450873,70,"planted","RPL11-1EW.CSV",9.516119829,4.316656428,18.63352271,10.42709074,40,8.35,6.030514564,6.584947871,21.061,17.119,4.663963467,2.123561375,0,0,0.698863636,749.0767327,22.73063117,15.24451178,3.351597032,7.442680699,5.977045388,23.59896936,76.40103064,21.061,543.475,3.475,0.837205862,13.80479654,0.91858197520546,1318.9,0.632000217833043
"63","RPL11","RPL48",11,166.7090175,833.5450873,70,"planted","RPL11-2SN.CSV",10.85884152,4.876969439,23.78483091,11.8787478,40,9.175,8,6.562861712,21.005,15.623925,6.169625928,2.785432463,0,0,0.65,517.0232245,16.35080621,15.80108732,5.587740231,7.894868404,6.228386868,7.815512383,92.18448762,21.005,505.85,5.15,0.924586784,17.69850746,0.91858197520546,1318.9,0.632000217833043
"64","RPL12","RPL48",12,207.1486337,1035.743168,70,"planted","RPL12-1EW.CSV",14.57325732,4.396867846,19.33244685,15.20621467,40,14.475,7.439437289,5.839685186,21.888,18.02285,6.114267997,2.674476445,0,0,0.645652174,447.8536897,13.72525542,16.10810521,4.741552751,11.60539792,6.038362248,7.971957937,92.02804206,21.888,499.375,3.825,0.801011718,14.88042565,0.872613605808013,1298.1,0.797891663200062
"65","RPL12","RPL48",12,207.1486337,1035.743168,70,"planted","RPL12-2SN.CSV",13.83849807,4.31755693,18.64129785,14.48030711,40,12.125,5.914701351,6.861963164,23.965,18.88405,5.64831561,2.101122736,0,0,0.666,905.7287961,20.48943029,22.04341268,4.172902839,11.5067995,6.630646956,10.80829827,89.19170173,23.965,511.075,3.025,0.732819208,14.52930451,0.872613605808013,1298.1,0.797891663200062
"66","RPL13","RPL65",13,186.3581296,931.7906482,53,"planted","RPL13.CSV",15.31378215,0.981360723,0.963068869,15.34440993,40,15.125,5.739667137,1.202294814,18.682,17.02285,6.270688745,2.608681059,0,0,0.6675,8.349812305,2.332885489,1.705126857,1.036452444,13.78585691,2.787428851,6.565229642,93.43477036,18.682,355.025,1.975,0.718813998,9.073608618,NA,NA,NA
"67","RPL13","RPL65",13,186.3581296,931.7906482,53,"planted","RPL13EW.CSV",13.90001978,1.578679712,2.492229635,13.98715388,40,13.475,5.936026564,2.286947355,18.763,15.807475,5.177945348,2.207014836,0,0,0.675,13.17878714,2.999924761,2.044318608,1.774672595,12.61987841,2.405171134,17.54733219,82.45266781,18.763,290.625,2.325,0.696499966,10.36174126,NA,NA,NA
"68","RPL14","RPL65",14,198.8019842,994.0099211,53,"planted","RPL14EW.CSV",16.85420772,0.907212906,0.823035256,16.87799684,40,16.525,5.131050242,1.198021874,20.415,18.5134,4.47188288,1.947698775,0,0,0.720238095,4.626097214,1.678230747,1.345228149,1.170473054,15.88723942,1.874437292,22.6045209,77.3954791,20.415,375.05,2.1,0.559503285,8.214338837,NA,NA,NA
"69","RPL14","RPL65",14,198.8019842,994.0099211,53,"planted","RPL14NS.CSV",15.06381945,2.995574628,8.973467351,15.35147508,40,14.5,5.88036846,3.210559501,20.178,17.078625,4.916243214,2.322939133,1,0.025,0.728571429,12.39417723,2.529368891,2.448769127,3.132957247,14.33068944,2.623235899,17.30518234,82.69481766,20.178,325.75,2.875,0.708814698,9.4619585,NA,NA,NA
"70","RPL15","RPL65",15,225.1454938,1125.727469,52,"planted","RPL15NS.CSV",17.16288728,3.723914997,13.86754291,17.55236605,40,16.825,5.488894434,4.217712954,22.421,19.522575,4.292999036,1.729363839,1,0.025,0.706521739,19.63960449,3.302514538,2.955165345,3.626251394,15.62130802,3.49845816,27.20102163,72.79897837,22.421,332.925,2.975,0.757612589,11.83057449,NA,NA,NA
"71","RPL15","RPL65",15,225.1454938,1125.727469,52,"planted","RPL15EW.CSV",16.51603894,2.777318665,7.713498969,16.74216843,40,15.825,8,4.193324977,22.171,18.882125,5.39902077,2.401873278,0,0,0.692391304,155.0831936,5.529213388,11.1584494,2.923321234,15.00751102,4.135107164,14.78547855,85.21452145,22.171,416.75,2.725,0.725272991,11.7829925,NA,NA,NA
